Drama,History,Horror,Metascore,Action,Musical,War,Thriller,Romance,Runtime,imdbRating,Documentary,Science,Fiction,France,Won
1,0,0,0.8999999999999999,0,0,1,0,0,0.5054945054945055,0.8,0,0,0,0,1
1,0,0,0.3111111111111111,1,0,0,1,0,0.13186813186813184,0.43333333333333335,0,0,0,0,0
1,0,0,0.817,0,0,0,0,0,0.34615384615384615,0.45000000000000007,0,0,0,0,1
1,0,0,0.4924444444444445,0,0,0,0,0,0.2637362637362637,0.5333333333333334,0,0,0,0,0
0,0,0,0.7888888888888889,1,0,0,0,0,0.3351648351648352,0.7666666666666666,0,0,0,1,0
0,0,0,0.7999999999999999,0,0,0,0,0,0.25274725274725274,0.7000000000000002,1,0,0,0,0
1,0,0,0.6888888888888889,0,0,0,0,0,0.6648351648351649,0.8,0,0,0,0,1
1,1,0,0.9222222222222223,0,0,0,1,0,0.3791208791208791,0.8166666666666667,0,0,0,0,1
1,1,0,0.9222222222222223,0,0,0,0,1,0.6043956043956045,0.8,0,0,0,0,1
1,0,0,0.817,0,0,0,0,0,0.2857142857142857,0.45000000000000007,0,0,0,0,1
1,0,0,0.817,0,0,0,0,0,0.22527472527472525,0.7833333333333334,0,0,0,0,1
1,1,0,0.7684444444444444,0,0,0,0,0,0.6758241758241758,0.6666666666666667,0,0,0,0,0
1,0,0,0.7999999999999999,0,0,0,0,1,0.4505494505494506,0.9333333333333336,0,0,0,0,1
1,0,0,0.9666666666666666,0,0,1,0,1,0.978021978021978,0.8166666666666667,0,0,0,0,1
1,1,0,0.6222222222222222,0,0,0,0,0,0.27472527472527475,0.8,0,0,0,0,0
1,0,0,0.817,0,1,0,0,0,0.6373626373626374,0.5833333333333335,0,0,0,0,1
0,0,0,0.4924444444444445,0,0,0,0,0,0.20329670329670324,0.6333333333333333,0,0,0,1,0
1,0,0,0.8444444444444444,0,1,0,0,0,0.510989010989011,0.7166666666666668,0,0,0,0,1
0,0,1,0.3666666666666667,0,0,0,0,0,0.15384615384615385,0.5,0,1,1,0,0
0,0,0,0.8555555555555555,0,0,0,0,1,0.24725274725274726,0.8166666666666667,0,0,0,0,1
1,0,1,0.4888888888888889,0,0,0,0,0,0.13186813186813184,0.43333333333333335,0,0,0,1,0
1,0,0,0.3111111111111111,0,0,0,0,0,0.2912087912087912,0.5833333333333335,0,0,0,0,0
0,0,0,0.34444444444444444,1,0,0,1,0,0.39010989010989017,0.43333333333333335,0,1,1,0,0
0,0,0,0.4000000000000001,0,0,0,0,0,0.19780219780219777,0.6499999999999999,0,1,1,0,0
1,0,0,0.8999999999999999,0,0,0,1,0,0.34065934065934067,0.8166666666666667,0,0,0,0,1
1,0,0,0.5777777777777777,0,0,0,1,0,0.23076923076923073,0.5833333333333335,0,0,0,0,0
1,0,0,0.6555555555555556,0,0,0,0,0,0.3846153846153846,0.8333333333333333,0,0,0,0,1
1,0,0,0.4924444444444445,1,0,0,0,1,0.4340659340659341,0.5666666666666667,0,0,0,0,0
1,1,0,0.6888888888888889,0,0,0,0,0,0.3296703296703297,0.75,0,0,0,0,1
1,0,0,0.4924444444444445,0,0,0,0,1,0.23076923076923073,0.6666666666666667,0,0,0,0,0
1,1,0,0.8444444444444444,0,0,0,0,0,0.34065934065934067,0.6666666666666667,0,0,0,1,0
0,0,1,0.4924444444444445,0,0,0,0,0,0.2362637362637363,0.5,0,0,0,0,0
1,0,0,0.817,1,0,1,0,1,0.46153846153846156,0.7166666666666668,0,0,0,0,1
0,1,0,0.7444444444444445,0,0,0,0,1,0.3791208791208791,0.55,0,0,0,0,1
