Specs,Score
Budget,0.06922283250410502
Runtime,3.7687776956312566
Months_till_Dec,0.10494681875069548
Metascore,7.2734703060798855
imdbRating,3.757334456593753
Animation,0.9367088607594936
Comedy,1.2947314403010592
Family,0.006414642490591898
Adventure,0.0026848532627288626
Fantasy,0.37822870338693104
Drama,9.100110763727763
Romance,3.867299139451039
Action,6.317526182777305
Crime,0.25519280582571696
Thriller,5.249748759835784
History,7.863154293534041
Science,3.2555837935584764
Fiction,3.2555837935584764
Mystery,0.05542251111871353
Horror,7.700778309955522
War,5.376838864180638
Foreign,
Western,0.27098871022921667
Documentary,3.7468354430379742
Biography,0.4023263770099215
Sci-Fi,
Film-Noir,
Musical,5.875299349982896
Sport,
USA,0.8133033576071549
UK,0.5379687850224739
France,2.828190215531987
Italy,0.5429353404036944
Germany,1.9597704724287
Spain,0.2714676702018472
Belgium,0.002138214163530626
Australia,1.8734177215189871
Canada,0.28026000684228514
Mexico,0.9367088607594936
UAE,
Japan,0.9367088607594936
Netherlands,
Hong Kong,0.9367088607594936
New Zealand,1.0675675675675675
Russia,2.81012658227848
Austria,
Switzerland,0.9367088607594936
Taiwan,
Liechtenstein,
Portugal,
Denmark,1.8734177215189871
Ireland,1.0675675675675675
Czech Republic,
India,0.4023263770099215
Federal of Yugoslavia,
Bulgaria,0.9367088607594936
Hungary,
Philippines,
Czechoslovakia,1.0675675675675675
Norway,0.9367088607594936
Sweden,1.8734177215189871
China,0.002138214163530626
Monaco,
Morocco,0.002138214163530626
Iran,
South Africa,
Botswana,
Aruba,
South Korea,1.0675675675675675
Brazil,0.9367088607594936
Chile,
Luxembourg,
Serbia,
Poland,
Peru,
Israel,
Romania,
Soviet Union,
Union,
Malta,1.0675675675675675
Singapore,0.9367088607594936
Finland,0.9367088607594936
Iceland,
Argentina,0.9367088607594936
Dominican,
Indonesia,
Namibia,
Bosnia,
Herzegovina,
Slovenia,
Libya,
Bahamas,
Egypt,
Vietnam,
Jordan,
Greece,
Latvia,
Afghanistan,
Bangladesh,
Thailand,
Kenya,
Saudi Arabia,
Ghana,
Ethiopia,
Algeria,
Turkey,
Isle of Man,
Ukraine,
Kazakhstan,
Slovakia,
Tunisia,
Mali,
British Virgin Islands,
Lithuania,
Zimbabwe,
Cayman,
Bahrain,
Guatemala,
Angola,
Belarus,
Croatia,
Palestine,
Panama,
Uruguay,
Georgia,
Jamaica,
Estonia,
North,
Macedonia,
Costa Rica,
Cyprus,
Puerto Rico,
Burkina Faso,
Cuba,
Venezuela,
Laos,
Uganda,
Kosovo,
Qatar,
Colombia,
Pakistan,
Cambodia,
Nigeria,
