Drama,History,Horror,Metascore,Action,Musical,War,Thriller,Romance,Runtime,imdbRating,Documentary,Science,Fiction,France,Won
0,0,0,0.7272727272727274,0,0,0,0,0,0.21164021164021163,0.7948717948717948,0,0,0,0,0
0,0,0,0.5385858585858587,1,0,0,0,1,0.19576719576719576,0.7307692307692307,0,1,1,1,0
0,0,0,0.5385858585858587,0,0,0,0,0,0.19576719576719576,0.5384615384615384,1,0,0,0,0
1,0,0,0.6363636363636365,1,0,0,0,0,0.21164021164021163,0.6153846153846153,0,0,0,0,0
1,1,0,0.5385858585858587,0,0,0,0,0,0.30158730158730157,0.7179487179487178,0,0,0,1,0
1,0,1,0.8080808080808082,1,0,0,0,0,0.7089947089947088,0.7307692307692307,0,0,0,0,0
0,0,0,0.5050505050505052,1,0,0,0,0,0.28571428571428564,0.6153846153846153,0,0,0,0,0
0,0,0,0.5385858585858587,0,0,0,0,1,0.43915343915343913,0.7948717948717948,0,0,0,0,0
0,0,0,0.5385858585858587,0,0,0,0,0,0.164021164021164,0.07692307692307693,0,0,0,0,0
0,0,0,0.5385858585858587,1,0,0,1,0,0.2645502645502645,0.4358974358974359,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.22222222222222215,0.6794871794871794,0,0,0,0,0
0,0,0,0.5385858585858587,1,0,0,1,0,0.23809523809523808,0.6025641025641025,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.2698412698412698,0.5384615384615384,0,0,0,0,0
0,0,0,0.5385858585858587,0,0,0,0,1,0.23280423280423285,0.7435897435897435,0,0,0,0,0
1,0,0,0.7171717171717172,0,0,0,0,0,0.4232804232804233,0.7564102564102564,0,0,0,0,0
1,0,0,0.8585858585858587,0,0,0,0,0,0.2804232804232804,0.7051282051282051,0,0,0,1,0
1,0,0,0.4545454545454546,0,0,0,0,1,0.3597883597883598,0.5,0,0,0,0,0
0,0,0,0.595959595959596,1,0,0,1,0,0.4074074074074074,0.6666666666666666,0,0,0,0,0
1,0,0,0.23232323232323232,0,0,0,1,0,0.2804232804232804,0.4871794871794871,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.5820105820105819,0.8333333333333333,0,0,0,0,0
0,0,0,0.5151515151515152,0,0,0,0,0,0.20634920634920634,0.5384615384615384,0,0,0,0,0
1,0,0,0.6565656565656567,0,0,0,0,0,0.19576719576719576,0.5256410256410255,0,0,0,1,0
0,0,0,0.23232323232323232,1,0,0,0,0,0.19576719576719576,0.28205128205128205,0,1,1,0,0
0,0,0,0.5385858585858587,0,0,0,0,0,0.23809523809523808,0.7692307692307692,0,1,1,0,0
0,0,1,0.42424242424242425,1,0,0,1,0,0.21693121693121692,0.4871794871794871,0,0,0,0,0
0,0,1,0.2828282828282828,0,0,0,1,0,0.19576719576719576,0.6282051282051282,0,0,0,0,0
0,0,1,0.5385858585858587,0,0,0,0,0,0.1693121693121693,0.5128205128205128,0,0,0,0,0
0,0,0,0.5385858585858587,0,1,0,0,1,0.291005291005291,0.6923076923076923,0,0,0,0,0
1,0,0,0.5656565656565657,0,0,0,0,0,0.31216931216931215,0.8974358974358974,0,0,0,1,0
1,0,0,0.5385858585858587,1,0,0,1,0,0.20634920634920634,0.5,0,0,0,0,0
1,0,0,0.7373737373737375,0,0,0,0,0,0.42857142857142855,0.7051282051282051,0,0,0,0,0
1,0,0,0.5050505050505052,0,0,0,1,1,0.30158730158730157,0.5769230769230769,0,0,0,0,0
1,0,0,0.686868686868687,1,0,1,1,0,0.5291005291005291,0.8717948717948718,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.14285714285714285,0.5641025641025641,0,0,0,0,0
0,0,0,0.5353535353535355,0,0,0,1,0,0.380952380952381,0.6794871794871794,0,0,0,1,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.19047619047619047,0.6923076923076923,0,0,0,0,0
0,0,0,0.41414141414141414,1,0,0,1,0,0.2275132275132275,0.6025641025641025,0,1,1,0,0
1,0,0,0.5385858585858587,0,0,0,0,1,0.37566137566137564,0.6282051282051282,0,0,0,0,0
0,0,1,0.7272727272727274,0,0,0,0,0,0.18518518518518517,0.7820512820512819,0,0,0,0,0
1,0,0,0.494949494949495,0,0,0,1,0,0.4074074074074074,0.7051282051282051,0,0,0,0,0
