Year,Money
1927,1.38
1928,1.36
1929,1.36
1930,1.33
1931,1.21
1932,1.09
1933,1.03
1934,1.06
1935,1.09
1936,1.1
1937,1.14
1938,1.12
1939,1.1
1940,1.11
1941,1.17
1942,1.29
1943,1.37
1944,1.4
1945,1.43
1946,1.55
1947,1.77
1948,1.91
1949,1.89
1950,1.91
1951,2.06
1952,2.1
1953,2.12
1954,2.13
1955,2.13
1956,2.16
1957,2.23
1958,2.29
1959,2.31
1960,2.35
1961,2.37
1962,2.4
1963,2.43
1964,2.46
1965,2.5
1966,2.57
1967,2.65
1968,2.76
1969,2.91
1970,3.08
1971,3.21
1972,3.32
1973,3.52
1974,3.91
1975,4.27
1976,4.52
1977,4.81
1978,5.17
1979,5.76
1980,6.54
1981,7.21
1982,7.66
1983,7.9
1984,8.25
1985,8.54
1986,8.7
1987,9.02
1988,9.39
1989,9.84
1990,10.37
1991,10.81
1992,11.13
1993,11.47
1994,11.76
1995,12.1
1996,12.45
1997,12.74
1998,12.94
1999,13.22
2000,13.67
2001,14.06
2002,14.28
2003,14.6
2004,14.99
2005,15.5
2006,16
2007,16.46
2008,17.09
2009,17.03
2010,17.31
2011,17.85
2012,18.22
2013,18.49
2014,18.79
2015,18.81
2016,19.05
2017,19.45
2018,19.94
2019,20.29
2020,20.35
