title,runtime,budget,original_language,Year,Month,Genre
Toy Story,81.0,30000000,en,1995,10,Animation Comedy Family 
Jumanji,104.0,65000000,en,1995,12,Adventure Fantasy Family 
Waiting to Exhale,127.0,16000000,en,1995,12,Comedy Drama Romance 
Heat,170.0,60000000,en,1995,12,Action Crime Drama Thriller 
Sabrina,127.0,58000000,en,1995,12,Comedy Romance 
Sudden Death,106.0,35000000,en,1995,12,Action Adventure Thriller 
GoldenEye,130.0,58000000,en,1995,11,Adventure Action Thriller 
The American President,106.0,62000000,en,1995,11,Comedy Drama Romance 
Nixon,192.0,44000000,en,1995,12,History Drama 
Cutthroat Island,119.0,98000000,en,1995,12,Action Adventure 
Casino,178.0,52000000,en,1995,11,Drama Crime 
Sense and Sensibility,136.0,16500000,en,1995,12,Drama Romance 
Four Rooms,98.0,4000000,en,1995,12,Crime Comedy 
Ace Ventura: When Nature Calls,90.0,30000000,en,1995,11,Crime Comedy Adventure 
Money Train,103.0,60000000,en,1995,11,Action Comedy Crime 
Get Shorty,105.0,30250000,en,1995,10,Comedy Thriller Crime 
Assassins,132.0,50000000,en,1995,10,Action Adventure Crime Thriller 
Leaving Las Vegas,112.0,3600000,en,1995,10,Drama Romance 
Now and Then,100.0,12000000,en,1995,10,Comedy Drama Family 
The City of Lost Children,108.0,18000000,fr,1995,05,Fantasy Science Fiction Adventure 
Twelve Monkeys,129.0,29500000,en,1995,12,Science Fiction Thriller Mystery 
Babe,89.0,30000000,en,1995,07,Fantasy Drama Comedy Family 
Dead Man Walking,122.0,11000000,en,1995,12,Drama 
Clueless,97.0,12000000,en,1995,07,Comedy Drama Romance 
Dead Presidents,119.0,10000000,en,1995,10,Action Crime Drama History 
Restoration,117.0,19000000,en,1995,12,Drama Romance 
Mortal Kombat,101.0,18000000,en,1995,08,Action Fantasy 
To Die For,106.0,20000000,en,1995,05,Fantasy Drama Comedy Thriller 
How To Make An American Quilt,116.0,10000000,en,1995,10,Drama Romance 
Se7en,127.0,33000000,en,1995,09,Crime Mystery Thriller 
Pocahontas,81.0,55000000,en,1995,06,Adventure Animation Drama Family 
The Usual Suspects,106.0,6000000,en,1995,07,Drama Crime Thriller 
Mighty Aphrodite,95.0,15000000,en,1995,09,Comedy Romance 
The Indian in the Cupboard,96.0,45000000,en,1995,07,Adventure Family Fantasy 
Eye for an Eye,101.0,20000000,en,1996,01,Drama Thriller 
Bio-Dome,88.0,15000000,en,1996,01,Comedy 
Friday,91.0,3500000,en,1995,04,Comedy 
From Dusk Till Dawn,108.0,19000000,en,1996,01,Horror Action Thriller Crime 
Fair Game,91.0,50000000,en,1995,11,Action Thriller Romance 
Big Bully,90.0,15000000,en,1996,01,Comedy Family 
Screamers,108.0,20000000,en,1995,09,Horror Science Fiction 
The Juror,118.0,44000000,en,1996,02,Drama Thriller 
Things to Do in Denver When You're Dead,116.0,8000000,en,1995,12,Drama Crime 
Antonia's Line,102.0,900000,nl,1995,09,Drama Comedy 
White Squall,129.0,38000000,en,1996,02,Action Drama 
Dunston Checks In,88.0,16000000,en,1996,01,Adventure Comedy Family 
Nick of Time,90.0,8169363,en,1995,11,Crime Drama Thriller 
Mary Reilly,104.0,47000000,en,1996,02,Drama Horror Thriller Romance 
Vampire in Brooklyn,100.0,14000000,en,1995,10,Comedy Horror Romance 
Broken Arrow,108.0,50000000,en,1996,02,Action Adventure Drama Thriller 
La Haine,98.0,3000000,fr,1995,05,Drama 
Bottle Rocket,91.0,7000000,en,1996,02,Comedy Crime Drama 
Unforgettable,106.0,18000000,en,1996,02,Drama Mystery Science Fiction Thriller 
Happy Gilmore,92.0,12000000,en,1996,02,Comedy 
The Bridges of Madison County,135.0,24000000,en,1995,05,Drama Romance 
Braveheart,177.0,72000000,en,1995,05,Action Drama History War 
Taxi Driver,114.0,1300000,en,1976,02,Crime Drama 
