title,budget,Year,is_Nominated,Won,Animation,Comedy,Family,Adventure,Fantasy,Drama,Romance,Action,Crime,Thriller,History,Science,Fiction,Mystery,Horror,War,Foreign,Western,Documentary,Music,Biography,Sci-Fi,Film-Noir,Musical,Sport,month,Runtime,country,Metascore,imdbRating
Toy Story,30000000,1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Nov 1995,81 min,USA,95.0,8.3
Jumanji,65000000,1995,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 Dec 1995,104 min,USA,39.0,7.0
Waiting to Exhale,16000000,1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Dec 1995,124 min,USA,,5.9
Heat,60000000,1995,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 Dec 1995,170 min,USA,76.0,8.2
Sabrina,58000000,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 Oct 1954,113 min,USA,72.0,7.7
Sudden Death,35000000,1995,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Dec 1995,111 min,USA,,5.8
GoldenEye,58000000,1995,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 Nov 1995,130 min,"UK, USA",65.0,7.2
The American President,62000000,1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 Nov 1995,114 min,USA,67.0,6.8
Nixon,44000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05 Jan 1996,192 min,USA,66.0,7.1
Cutthroat Island,98000000,1995,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Dec 1995,124 min,"France, Italy, Germany, USA",37.0,5.7
Casino,52000000,1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Nov 1995,178 min,"France, USA",73.0,8.2
Sense and Sensibility,16500000,1995,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 Jan 1996,136 min,"USA, UK",84.0,7.6
Four Rooms,4000000,1995,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Dec 1995,98 min,USA,,6.8
Ace Ventura: When Nature Calls,30000000,1995,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 Nov 1995,90 min,USA,45.0,6.4
Money Train,60000000,1995,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Nov 1995,110 min,USA,,5.7
Get Shorty,30250000,1995,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 Oct 1995,105 min,USA,82.0,6.9
Assassins,50000000,1995,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Oct 1995,132 min,"France, USA",,6.3
Leaving Las Vegas,3600000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Feb 1996,111 min,"France, UK, USA",82.0,7.5
Now and Then,12000000,1995,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 Oct 1995,100 min,USA,,6.8
The City of Lost Children,18000000,1995,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15 Dec 1995,112 min,"France, Germany, Spain, Belgium, USA",73.0,7.5
Twelve Monkeys,29500000,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,01 Nov 1996,88 min,USA,,7.6
Babe,30000000,1995,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04 Aug 1995,91 min,"Australia, USA",83.0,6.7
Dead Man Walking,11000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Feb 1996,122 min,"UK, USA",80.0,7.5
Clueless,12000000,1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 Jul 1995,97 min,USA,68.0,6.8
