Name,Year of release,Rating,Genre,votes
Joker,2019.0,8.5,Crime Drama Thriller            ,"804,392"
Once Upon a Time... in Hollywood,2019.0,7.7,Comedy Drama            ,"475,635"
Parasite,2019.0,8.6,Comedy Drama Thriller            ,"422,877"
1917,2019.0,8.3,Drama War            ,"323,820"
Jojo Rabbit,2019.0,7.9,Comedy Drama War            ,"223,514"
Little Women,2019.0,7.9,Drama Romance            ,"108,259"
Mad Max: Fury Road,2015.0,8.1,Action Adventure Sci-Fi            ,"843,787"
Django Unchained,2012.0,8.4,Drama Western            ,"1,300,800"
Inception,2010.0,8.8,Action Adventure Sci-Fi            ,"1,971,147"
Inglourious Basterds,2009.0,8.3,Adventure Drama War            ,"1,213,637"
The Lord of the Rings: The Fellowship of the Ring,2001.0,8.8,Action Adventure Drama            ,"1,601,843"
Titanic,1997.0,7.8,Drama Romance            ,"1,013,727"
The Shawshank Redemption,1994.0,9.3,Drama            ,"2,248,348"
Pulp Fiction,1994.0,8.9,Crime Drama            ,"1,760,453"
The Godfather,1972.0,9.2,Crime Drama            ,"1,551,325"
Ford v Ferrari,2019.0,8.1,Action Biography Drama            ,"221,385"
The Irishman,2019.0,7.9,Biography Crime Drama            ,"293,090"
Saving Private Ryan,1998.0,8.6,Drama War            ,"1,189,059"
The Wolf of Wall Street,2013.0,8.2,Biography Crime Drama            ,"1,120,319"
Dunkirk,2017.0,7.9,Action Drama History            ,"519,794"
The Green Mile,1999.0,8.6,Crime Drama Fantasy            ,"1,096,282"
The Godfather: Part II,1974.0,9.0,Crime Drama            ,"1,084,343"
Forrest Gump,1994.0,8.8,Drama Romance            ,"1,733,494"
Call Me by Your Name,2017.0,7.9,Drama Romance            ,"192,869"
The Silence of the Lambs,1991.0,8.6,Crime Drama Thriller            ,"1,217,367"
Gladiator,2000.0,8.5,Action Adventure Drama            ,"1,292,635"
Raiders of the Lost Ark,1981.0,8.4,Action Adventure            ,"856,359"
Goodfellas,1990.0,8.7,Biography Crime Drama            ,"978,154"
Schindler's List,1993.0,8.9,Biography Drama History            ,"1,168,420"
BlacKkKlansman,2018.0,7.5,Biography Crime Drama            ,"193,495"
Apocalypse Now,1979.0,8.4,Drama Mystery War            ,"583,417"
The Departed,2006.0,8.5,Crime Drama Thriller            ,"1,145,967"
Avatar,2009.0,7.8,Action Adventure Fantasy            ,"1,093,629"
Star Wars,1977.0,8.6,Action Adventure Fantasy            ,"1,193,332"
The Social Network,2010.0,7.7,Biography Drama            ,"601,439"
The Grand Budapest Hotel,2014.0,8.1,Adventure Comedy Crime            ,"678,810"
Taxi Driver,1976.0,8.3,Crime Drama            ,"693,102"
Black Panther,2018.0,7.3,Action Adventure Sci-Fi            ,"583,710"
Bohemian Rhapsody,2018.0,8.0,Biography Drama Music            ,"425,463"
Green Book,2018.0,8.2,Biography Comedy Drama            ,"326,405"
Jaws,1975.0,8.0,Adventure Thriller            ,"529,872"
Casablanca,1942.0,8.5,Drama Romance War            ,"504,126"
The Revenant,2015.0,8.0,Action Adventure Biography            ,"675,818"
The Lord of the Rings: The Return of the King,2003.0,8.9,Adventure Drama Fantasy            ,"1,588,164"
No Country for Old Men,2007.0,8.1,Crime Drama Thriller            ,"818,855"
The Curious Case of Benjamin Button,2008.0,7.8,Drama Fantasy Romance            ,"569,925"
Get Out,2017.0,7.7,Horror Mystery Thriller            ,"462,037"
Room,2015.0,8.1,Drama Thriller            ,"350,154"
Marriage Story,2019.0,8.0,Comedy Drama Romance            ,"215,546"
Lady Bird,2017.0,7.4,Comedy Drama            ,"220,354"
Good Will Hunting,1997.0,8.3,Drama Romance            ,"826,303"
Arrival,2016.0,7.9,Drama Mystery Sci-Fi            ,"566,469"
The Martian,2015.0,8.0,Adventure Drama Sci-Fi            ,"731,730"
American Beauty,1999.0,8.3,Drama            ,"1,039,850"
The Best Years of Our Lives,1946.0,8.0,Drama Romance War            ,"55,765"
A Clockwork Orange,1971.0,8.3,Crime Drama Sci-Fi            ,"732,237"
Whiplash,2014.0,8.5,Drama Music            ,"678,977"
Her,2013.0,8.0,Drama Romance Sci-Fi            ,"515,125"
La La Land,2016.0,8.0,Comedy Drama Music            ,"479,510"
12 Angry Men,1957.0,8.9,Crime Drama            ,"658,156"
The Godfather: Part III,1990.0,7.6,Crime Drama            ,"346,149"
Braveheart,1995.0,8.3,Biography Drama History            ,"933,997"
The Lord of the Rings: The Two Towers,2002.0,8.7,Adventure Drama Fantasy            ,"1,434,873"
A Star Is Born,2018.0,7.7,Drama Music Romance            ,"310,101"
There Will Be Blood,2007.0,8.2,Drama            ,"495,828"
