title,runtime,budget,Year,is_Nominated,Won,Animation,Comedy,Family,Adventure,Fantasy,Drama,Romance,Action,Crime,Thriller,History,Science,Fiction,Mystery,Horror,War,Foreign,Western,Documentary,Music,Biography,Sci-Fi,Film-Noir,Musical,Sport,month,Runtime,country,Metascore,imdbRating
Toy Story,81,30000000,1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Nov 1995,81 min,USA,95,8.3
Jumanji,104,65000000,1995,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 Dec 1995,104 min,USA,39,7.0
Waiting to Exhale,127,16000000,1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Dec 1995,124 min,USA,N/A,5.9
Heat,170,60000000,1995,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 Dec 1995,170 min,USA,76,8.2
Sabrina,127,58000000,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 Oct 1954,113 min,USA,72,7.7
Sudden Death,106,35000000,1995,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Dec 1995,111 min,USA,N/A,5.8
GoldenEye,130,58000000,1995,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 Nov 1995,130 min,"UK, USA",65,7.2
The American President,106,62000000,1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 Nov 1995,114 min,USA,67,6.8
Nixon,192,44000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05 Jan 1996,192 min,USA,66,7.1
Cutthroat Island,119,98000000,1995,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Dec 1995,124 min,"France, Italy, Germany, USA",37,5.7
Casino,178,52000000,1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Nov 1995,178 min,"France, USA",73,8.2
Sense and Sensibility,136,16500000,1995,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 Jan 1996,136 min,"USA, UK",84,7.6
Four Rooms,98,4000000,1995,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Dec 1995,98 min,USA,N/A,6.8
Ace Ventura: When Nature Calls,90,30000000,1995,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 Nov 1995,90 min,USA,45,6.4
Money Train,103,60000000,1995,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Nov 1995,110 min,USA,N/A,5.7
Get Shorty,105,30250000,1995,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 Oct 1995,105 min,USA,82,6.9
Assassins,132,50000000,1995,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Oct 1995,132 min,"France, USA",N/A,6.3
Leaving Las Vegas,112,3600000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Feb 1996,111 min,"France, UK, USA",82,7.5
Now and Then,100,12000000,1995,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 Oct 1995,100 min,USA,N/A,6.8
The City of Lost Children,108,18000000,1995,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15 Dec 1995,112 min,"France, Germany, Spain, Belgium, USA",73,7.5
Twelve Monkeys,129,29500000,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,01 Nov 1996,88 min,USA,N/A,7.6
Babe,89,30000000,1995,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04 Aug 1995,91 min,"Australia, USA",83,6.7
